County,Facility Name,Facility Address,City,Is the pool indoor or outdoor,Pool Size_sf,Pool Volume_gal
CLERMONT,Miami Hills Swim & Tennis Club,"1103 Rainbow TI, 45150",Milford,OUTDOOR,7638,253000
DELAWARE,Jack Florance Pool At Mingo Park (LAP),"500 E. Lincoln Ave, 43015",Delaware,OUTDOOR,2700,252450
LUCAS,The Village at Fallen Timbers,"7701 Timbers Edge, 43566",Waterville,OUTDOOR,792,252450
CINCINNATI CITY,Mt. Lookout Swim Club,"3605 Totten Ave, 45226",Cincinnati,OUTDOOR,6708,251089
CINCINNATI CITY,Otto Armledger Memorial Aquatic,"4356 Dunham Ln, 45238",Cincinnati,OUTDOOR,14565,250760
COLUMBUS CITY,The Jewish Community Center of Grtr Cols.,"1125 College Ave, 43209",Columbus,INDOOR,2200,250000
CUYAHOGA,Bedford Hts Muni Pool,"24780 Eldridge Blvd, 44146",Bedford Hts,OUTDOOR,9794,250000
MORGAN,McConnelsville Swimming Pool,"45 Tenth St, McConnelsville Village, 43756",McConnelsville,OUTDOOR,1250,250000
SANDUSKY,Fremont Park & Rec,"600 St. Joseph St., 43420",Fremont,OUTDOOR,10000,250000
STARK,Village of Minerva,"209 N. Market St, 44657",Minerva,OUTDOOR,25000,250000
TRUMBULL,Hubbard Main Community Pool,"200 Hall Ave, 44425",Hubbard,INDOOR,6000,250000
TRUMBULL,Hubbard Main Community Pool,250 Hall Ave,Hubbard,INDOOR,6000,250000
WYANDOT,Carey Municipal Pool,"202 Worello St., 43316",Carey,OUTDOOR,5688,250000
LORAIN,Lorain County Metro Parks Splash Zone,"95 West Hamilton, 44074",Oberlin,INDOOR,4356,249827
CINCINNATI CITY,Gamble Nippert YMCA,"3159 Montana Ave, 45211",Cincinnati City,OUTDOOR,8475,247352
FRANKLIN,Big Splash at Evans Park,2831 Southwest Blvd,Grove City,OUTDOOR,9608,246420
CINCINNATI CITY,Clifton Square Apts.,"222 Senator Pl., 45220",Cincinnati,OUTDOOR,547,246000
LUCAS,Maumee City,"2115 Cass Rd, 43537",Maumee,OUTDOOR,9618,245745
SPRINGDALE CITY,Springdale Community Ctr,"11999 Lawnview Ave, 45246",City of Springdale,OUTDOOR,7403,245460
FRANKLIN,Best Western Executive Suites,"1899 Winderly Ln., 43147",Pickerington,INDOOR,750,245000
COLUMBUS CITY,Rec & Phys Activity Center,"337 Annie & John Glenn, 43210",Columbus,INDOOR,4741,244890
CUYAHOGA,City of Parma Hts- Pool,"6200 Pearl Rd, 44130",Parma Hts,OUTDOOR,3200,243640
LAKE,Perry Community Education,"One Success Blvd, 44081",Perry,INDOOR,3995,243000
MONTGOMERY,Forest Ridge,"6801 Union School House Rd, 45424",Dayton,OUTDOOR,4300,241000
FRANKLIN,Westerville Community Center Lap,"350 N. Cleveland Ave, 43081",Westerville,INDOOR,4205,240036
BUTLER,Lakota Family YMCA,6703 Yankee Rd,Middletown,INDOOR,5000,240000
CINCINNATI CITY,O'Connor Sports Center,"3720 Victory Pkwy,45207",Cincinnati,INDOOR,6232,240000
MIDDLETOWN CITY,Olde Towne Apartments Pool,"1074 Park Lane, 45042",Middletown,OUTDOOR,800,240000
MONTGOMERY,William Gardner Jr. Memorial Pool,"105 Patterson Rd, 45419",Dayton,OUTDOOR,6970,240000
SENECA,Community YMCA Pool,"180 Summit St, 44883",Tiffin,INDOOR,5040,240000
CINCINNATI CITY,Hyde Park Golf & Country Club,"3740 Erie Ave, 45208",Cincinnati,OUTDOOR,6362,239238
CUYAHOGA,Nike Site- Pool,"Nike Site Rd & Pleasant, 44130",Parma,OUTDOOR,5500,239012
FRANKLIN,Westerville Jaycees Instructional,"200 S. Otterbein, 43081",Westerville,OUTDOOR,6600,238000
FRANKLIN,Minerva Park Swim Club Inc. Pool,"3032 Minerva Lake Rd, 43231",Columbus,OUTDOOR,5600,237184
MONTGOMERY,Sinclair College,"444 W. Third St., 45402",Dayton,INDOOR,4575,235400
PORTAGE,Hiram Alumni Pool,"Hiram College, 44234",Hiram,INDOOR,2870,235000
WARREN,Sycamore Country Club,"8300 Country Club Ln., 45066",Springboro,OUTDOOR,5000,235000
COLUMBIANA,Sadie Van Fossan Main Pool,"405 Cedar St., 44432",Lisbon,OUTDOOR,4815,234000
CUYAHOGA,Rocky River H/S Pool,"20951 Detroit Rd, 44116",Rocky River,INDOOR,4180,234000
JEFFERSON,Stratton Outdoor Pool,Stratton Heights Rd,Stratton,OUTDOOR,6337,234000
HAMILTON,Mt. Healthy Pool,"7700 Perry St., 45231",Cincinnati,OUTDOOR,5830,233000
MAHONING,Canfield Swim Club,"522 N. Briarcliff Rd, 44406",Canfield,OUTDOOR,5500,232650
CLEVELAND CITY,Gunning Pool,16700 Puritas Ave,Cleveland,INDOOR,5743,232433
CUYAHOGA,Bedford Muni Pool,"411 Lamson Rd, 44146",Bedford,OUTDOOR,8190,232000
PUTNAM,Leipsic Municipal Pool,"245 S. Orchard Dr., 45856",Leipsic,OUTDOOR,6000,230540
CLARK,Springfield Country Club,"2315 Signal Hill Rd, 45504",Springfield,OUTDOOR,5735,230000
COLUMBUS CITY,Hardesty Heights,"559 D'Lynn St., 43228",Columbus,OUTDOOR,3475,230000
HANCOCK,Mt. Blanchard Island Park Pool,"100 Park St., 45867",Blanchard,OUTDOOR,6240,230000
SHELBYCITY,Seltzer Park Pool,"70 Parkwood Dr, 44875",Shelby,OUTDOOR,5988,230000
WILLIAMS,Williams County YMCA,"1 Faber Dr., 43506",Bryan,INDOOR,4275,230000
LICKING,4-H Camp Ohio,"11461 Camp Ohio Rd, 43071",St. Louisville,OUTDOOR,6088,229700
LAKE,Manry Park (M),"Manry Park (M), 44095",Willowick,OUTDOOR,5926,229501
SUMMIT,Akron Jewish Center,"750 White Pond Dr., 44320",Akron,OUTDOOR,7188,229275
HAMILTON,Kenwood Swim Club Main Pool,"7101 Lynnfield Ct, 45243",Cincinnati,OUTDOOR,5735,229000
MEDINA,Westfield Group Country Club - M,"6363 Greenwich Rd, 44251",Westfield Ctr,OUTDOOR,5195,228915
LORAIN,Adriatic Swimming Pool,"4850 Oberlin Ave, 44053",Lorain,OUTDOOR,10017,228750
MEDINA,3430 Medina Rd,3430 Medina Rd,Medina,INDOOR,3722,228140
